date_collected,seed_phrase,query,raw_frequency,region,device,source,source_call,notes
2026-05-21,водовоз новороссийск,водовоз новороссийск,13,970,all,wordstat_mcp,ws01,
2026-05-21,водовоз новороссийск,водовозов новороссийск,13,970,all,wordstat_mcp,ws01,
2026-05-21,водовоз новороссийск,веселый водовоз новороссийск,9,970,all,wordstat_mcp,ws01,competitor brand
2026-05-21,пожарный резервуар вода,резервуары пожарного запаса воды,3,970,all,wordstat_mcp,ws02,
2026-05-21,пожарный резервуар вода,пожарный резервуар для воды,2,970,all,wordstat_mcp,ws02,
2026-05-21,доставка воды водовозом новороссийск,доставка воды водовозом новороссийск,0,970,all,wordstat_mcp,ws03,no_data_in_wordstat
2026-05-21,вода на стройку новороссийск,вода на стройку новороссийск,0,970,all,wordstat_mcp,ws04,no_data_in_wordstat
2026-05-21,техническая вода водовоз,техническая вода водовоз,0,970,all,wordstat_mcp,ws05,no_data_in_wordstat
2026-05-21,наполнение бассейна водовозом,наполнение бассейна водовозом,0,970,all,wordstat_mcp,ws06,no_data_in_wordstat
2026-05-21,доставка воды 10 кубов новороссийск,доставка воды 10 кубов новороссийск,0,970,all,wordstat_mcp,ws07,no_data_in_wordstat
2026-05-21,вода 7.5 кубов,вода 7.5 кубов,0,970,all,wordstat_mcp,ws08,no_data_in_wordstat
2026-05-21,срочная доставка воды водовоз,срочная доставка воды водовоз,0,970,all,wordstat_mcp,ws09,no_data_in_wordstat
2026-05-21,заказать водовоз,заказать водовоз,0,970,all,wordstat_mcp,ws10,no_data_in_wordstat
2026-05-21,вода для частного дома водовоз,вода для частного дома водовоз,0,970,all,wordstat_mcp,ws11,no_data_in_wordstat
2026-05-21,доставка воды водовозом,водовоз доставка воды,124,10995,all,wordstat_mcp,ws12,
2026-05-21,доставка воды водовозом,водовозов доставка воды,124,10995,all,wordstat_mcp,ws12,
2026-05-21,доставка воды водовозом,доставка питьевой воды водовозом,30,10995,all,wordstat_mcp,ws12,
2026-05-21,доставка воды водовозом,водовоз доставка воды краснодар,16,10995,all,wordstat_mcp,ws12,
2026-05-21,доставка воды водовозом,доставка питьевой воды водовозом в сочи,11,10995,all,wordstat_mcp,ws12,
2026-05-21,доставка воды водовозом,доставка воды водовозом по раевской,6,10995,all,wordstat_mcp,ws12,
2026-05-21,доставка воды водовозом,веселый водовоз доставка воды,3,10995,all,wordstat_mcp,ws12,
2026-05-21,доставка воды водовозом,доставка воды водовозом цена,3,10995,all,wordstat_mcp,ws12,
2026-05-21,доставка воды водовозом,водовоз доставка воды спб,2,10995,all,wordstat_mcp,ws12,
2026-05-21,доставка воды водовозом,водовозов доставка воды спб,2,10995,all,wordstat_mcp,ws12,
2026-05-21,доставка воды водовозом,доставка воды водовозом красноярск,1,10995,all,wordstat_mcp,ws12,
2026-05-21,доставка воды водовозом,водовоз доставка воды отзывы,1,10995,all,wordstat_mcp,ws12,
2026-05-21,доставка воды водовозом,водовоз доставка воды работа,1,10995,all,wordstat_mcp,ws12,
2026-05-21,доставка воды водовозом,водовоз доставка воды москва,1,10995,all,wordstat_mcp,ws12,
2026-05-21,доставка воды водовозом,водовозов доставка воды москва,1,10995,all,wordstat_mcp,ws12,
2026-05-21,доставка воды водовозом,водовоз доставка воды заказать,1,10995,all,wordstat_mcp,ws12,
2026-05-21,доставка воды водовозом,водовоз доставка воды спб телефон,1,10995,all,wordstat_mcp,ws12,
2026-05-21,доставка воды водовозом,водовоз доставка воды спб телефон заказать,1,10995,all,wordstat_mcp,ws12,
2026-05-21,доставка воды водовозом,водовоз доставка воды телефон,1,10995,all,wordstat_mcp,ws12,
2026-05-21,доставка воды водовозом,водовозов доставка воды спб телефон,1,10995,all,wordstat_mcp,ws12,
