query,canonical_query,source_sources,frequency_region,frequency_value,intent_initial,intent_confidence,cluster_candidate,include_status,exclude_reason,notes
техническая вода,техническая вода,ws14,10995,1371,Mixed,low,CL05_technical_water,include,,truncated_response_80_more_rows
водовозов,водовоз,ws13,10995,1066,T,high,CL08_vodovoz_krai,include,,truncated_response_80_more_rows
доставка воды новороссийск,доставка воды новороссийск,ws17,10995,701,T,high,CL02_delivery_nsk,include,,
доставка воды новороссийск 19,доставка воды новороссийск 19,ws17,10995,184,T,high,CL02_delivery_nsk,include,,
вода водовоз,вода водовоз,ws13,10995,163,T,high,CL08_vodovoz_krai,include,,truncated_response_80_more_rows
водовозов вода,водовоз вода,ws13,10995,163,T,high,CL08_vodovoz_krai,include,,truncated_response_80_more_rows
технический натрий вода,технический натрий вода,ws14,10995,152,Mixed,low,CL05_technical_water,exclude,exclude_bottle_jobs_offtopic,truncated_response_80_more_rows
техническая вода кальций,техническая вода кальций,ws14,10995,150,Mixed,low,CL05_technical_water,exclude,exclude_bottle_jobs_offtopic,truncated_response_80_more_rows
водовоз юг,водовоз юг,ws13,10995,135,T,high,CL08_vodovoz_krai,include,,truncated_response_80_more_rows
водовоз доставка,водовоз доставка,ws13,10995,127,T,high,CL08_vodovoz_krai,include,,truncated_response_80_more_rows
водовоз доставка воды,водовоз доставка воды,ws12,10995,124,T,high,CL08_vodovoz_krai,include,,
водовозов краснодар,водовоз краснодар,ws13,10995,124,T,high,CL08_vodovoz_krai,exclude,wrong_geo_for_nsk_focus,truncated_response_80_more_rows
техническая вода 1,техническая вода 1,ws14,10995,102,Mixed,low,CL05_technical_water,exclude,exclude_bottle_jobs_offtopic,truncated_response_80_more_rows
водовозы юга краснодар,водовозы юга краснодар,ws13,10995,80,T,high,CL08_vodovoz_krai,exclude,wrong_geo_for_nsk_focus,truncated_response_80_more_rows
вода техническая питьевая,вода техническая питьевая,ws14,10995,78,Mixed,low,CL05_technical_water,include,,truncated_response_80_more_rows
технический карбид кальция с избытком воды,технический карбид кальция с избытком воды,ws14,10995,67,Mixed,low,CL05_technical_water,exclude,exclude_bottle_jobs_offtopic,truncated_response_80_more_rows
алексей водовоз,алексей водовоз,ws13,10995,64,T,high,CL08_vodovoz_krai,exclude,competitor_brand,truncated_response_80_more_rows
новороссийск доставка воды на дом,новороссийск доставка воды на дом,ws17,10995,64,T,high,CL02_delivery_nsk,include,,
водовоз сайт,водовоз сайт,ws13,10995,62,N,low,CL08_vodovoz_krai,include,,truncated_response_80_more_rows
водовоз официальный,водовоз официальный,ws13,10995,59,T,high,CL08_vodovoz_krai,include,,truncated_response_80_more_rows
водовоз официальный сайт,водовоз официальный сайт,ws13,10995,58,N,low,CL08_vodovoz_krai,include,,truncated_response_80_more_rows
