cluster_id,cluster_name,primary_query,secondary_queries,intent,frequency_total,region_note,page_type,priority,business_value,target_url,url_status,serp_engine,serp_check_status,top_competitors,geo_questions,content_status,last_review,notes
CL01_vodovoz_nsk,Водовоз Новороссийск,водовоз новороссийск,водовоз новороссийск;водовоз доставка воды,T,13,970 Novorossiysk; krai proxy 124,landing_section,P0,high,https://akvaservis-nsk.ru/,refresh,yandex,not_checked,веселый водовоз;водовозы юга,Как заказать водовоз в Новороссийске?;Сколько кубов минимум?,exists_preview,2026-05-21,Low local volume; must differentiate from bottle delivery SERP
CL02_delivery_nsk,Доставка воды Новороссийск (водовоз),доставка воды новороссийск,доставка питьевой воды новороссийск;доставка воды новороссийск цены,Mixed,746,10995 krai seed; bottle queries excluded,landing,P0,high,https://akvaservis-nsk.ru/,refresh,yandex,not_checked,аквакуб;19л бренды,Чем водовоз отличается от 19л бутылей?;Цена за 7.5 м³?,needs_positioning,2026-05-21,High volume but SERP likely bottle-heavy; H1 must say водовоз от 7.5 м³
CL03_construction,Вода на стройку,вода на стройку,вода на стройку новороссийск,T,11,10995,service_section,P1,medium,https://akvaservis-nsk.ru/#services-construction,refresh,yandex,not_checked,,Сколько воды нужно на стройку?;Техническая или питьевая?,exists_preview,2026-05-21,
CL04_pool,Наполнение бассейна водовозом,наполнение бассейна водой,первое наполнение бассейна водой,T,49,10995,service_section,P1,medium,https://akvaservis-nsk.ru/#services-pool,refresh,yandex,not_checked,,Сколько рейсов водовоза для бассейна?;Какая вода для бассейна?,exists_preview,2026-05-21,
CL05_technical_water,Техническая вода и доставка,техническая вода,доставка технической воды;доставка технической воды кубами;вода техническая питьевая,Mixed,1484,10995; informational tail excluded,service_section,P0,high,https://akvaservis-nsk.ru/#services-technical,create,yandex,not_checked,,Что такое техническая вода для стройки?;Можно ли пить техническую воду?,partial_preview,2026-05-21,Separate commercial block from chemistry/education queries
CL06_fire_reserve,Пожарный резерв воды,резервуары пожарного запаса воды,пожарный резервуар для воды;противопожарное водоснабжение,Mixed,5,970+10995 low volume,service_section,P2,medium,https://akvaservis-nsk.ru/#services-fire,refresh,yandex,not_checked,,Как заполнить пожарный резервуар водовозом?,exists_preview,2026-05-21,B2B niche
CL07_urgent,Срочная доставка воды,доставка воды срочно,срочная доставка воды водовоз,T,3,10995 low,landing_block,P1,high,https://akvaservis-nsk.ru/#urgent,refresh,yandex,not_checked,,Как быстро приедет водовоз?,exists_preview,2026-05-21,USP on site; low Wordstat volume
CL08_vodovoz_krai,Водовоз / доставка водовозом (край),водовоз доставка воды,водовоз;вода водовоз;водовоз доставка;привоз воды водовозом,T,124,10995 Krasnodar krai,landing,P0,high,https://akvaservis-nsk.ru/,refresh,yandex,not_checked,водовозы юга;алексей водовоз,Сколько стоит водовоз?;Какой объём за рейс?,exists_preview,2026-05-21,Core commercial cluster
CL09_private_house,Вода для частного дома / дачи,доставка технической воды на дом,вода для частного дома водовоз;водоснабжение частного дома,T,1,10995; no_data for long-tail geo seeds,service_section,P1,medium,https://akvaservis-nsk.ru/#services-home,refresh,yandex,not_checked,,Как заполнить накопительную ёмкость водовозом?,exists_preview,2026-05-21,
CL10_drinking_tanker,Питьевая вода водовозом,доставка питьевой воды водовозом,водовоз питьевая вода;заказать воду водовоз,T,30,10995,service_section,P1,medium,https://akvaservis-nsk.ru/#services-drinking,refresh,yandex,not_checked,веселый водовоз,Есть ли сертификаты на питьевую воду?,exists_preview,2026-05-21,Do not merge with 19л bottle cluster
