date_collected,seed_phrase,query,raw_frequency,region,device,source,source_call,notes
2026-06-21,водовоз новороссийск,водовоз новороссийск,27,970,all,wordstat_mcp,ws01,
2026-06-21,водовоз новороссийск,водовозов новороссийск,27,970,all,wordstat_mcp,ws01,
2026-06-21,водовоз новороссийск,веселый водовоз новороссийск,15,970,all,wordstat_mcp,ws01,competitor
2026-06-21,водовоз новороссийск,доставка воды новороссийск водовоз,3,970,all,wordstat_mcp,ws01,
2026-06-21,доставка воды новороссийск,доставка воды новороссийск,830,970,all,wordstat_mcp,ws02,head; bottle noise
2026-06-21,доставка воды новороссийск,доставка воды новороссийск 19,211,970,all,wordstat_mcp,ws02,bottle exclude
2026-06-21,доставка воды новороссийск,доставка воды новороссийск 19 литров на дом,70,970,all,wordstat_mcp,ws02,bottle exclude
2026-06-21,доставка воды новороссийск,аквакуб новороссийск вода доставка,57,970,all,wordstat_mcp,ws02,competitor bottle
2026-06-21,доставка воды новороссийск,вода 19 литров с доставкой новороссийск,49,970,all,wordstat_mcp,ws02,bottle exclude
2026-06-21,доставка воды новороссийск,доставка воды новороссийск цены,32,970,all,wordstat_mcp,ws02,mixed
2026-06-21,доставка воды новороссийск,аква куб новороссийск вода доставка,31,970,all,wordstat_mcp,ws02,competitor bottle
2026-06-21,доставка воды новороссийск,доставка питьевой воды новороссийск,25,970,all,wordstat_mcp,ws02,
2026-06-21,доставка воды новороссийск,доставка воды новороссийск водовоз,3,970,all,wordstat_mcp,ws02,
2026-06-21,доставка воды новороссийск,доставка воды новороссийск 10 тонн,2,970,all,wordstat_mcp,ws02,tanker intent
2026-06-21,доставка воды водовозом,водовоз доставка воды,7,970,all,wordstat_mcp,ws03,
2026-06-21,доставка воды водовозом,водовозов доставка воды,7,970,all,wordstat_mcp,ws03,
2026-06-21,доставка воды водовозом,доставка воды новороссийск водовоз,3,970,all,wordstat_mcp,ws03,
2026-06-21,техническая вода,техническая вода,85,970,all,wordstat_mcp,ws04,
2026-06-21,техническая вода,поставка технической воды,15,970,all,wordstat_mcp,ws04,
2026-06-21,техническая вода,подвоз технической воды,4,970,all,wordstat_mcp,ws04,
2026-06-21,техническая вода,доставка технической воды,3,970,all,wordstat_mcp,ws04,
2026-06-21,доставка технической воды,доставка технической воды,3,970,all,wordstat_mcp,ws05,
2026-06-21,подвоз воды,подвоз воды,119,970,all,wordstat_mcp,ws06,
2026-06-21,подвоз воды,подвоз воды в новороссийске,26,970,all,wordstat_mcp,ws06,geo
2026-06-21,подвоз воды,заявка на подвоз воды,8,970,all,wordstat_mcp,ws06,
2026-06-21,подвоз воды,подвоз технической воды,4,970,all,wordstat_mcp,ws06,
2026-06-21,подвоз воды,подвоз воды водовозом,2,970,all,wordstat_mcp,ws06,
2026-06-21,подвоз воды,заказать подвоз воды,2,970,all,wordstat_mcp,ws06,
2026-06-21,наполнение бассейна водой,,,970,all,wordstat_mcp,ws07,API error empty response
2026-06-21,заказ воды куб,заказ воды куб,6,970,all,wordstat_mcp,ws08,
2026-06-21,заказ воды куб,заказ куба воды,6,970,all,wordstat_mcp,ws08,
2026-06-21,заказ воды куб,заказ воды новороссийск 16 кубов,5,970,all,wordstat_mcp,ws08,
2026-06-21,доставка воды,доставка воды,1119,970,all,wordstat_mcp,ws09,generic
2026-06-21,доставка воды,доставка воды новороссийск,830,970,all,wordstat_mcp,ws09,
2026-06-21,доставка воды,доставка воды кубами,42,970,all,wordstat_mcp,ws09,
2026-06-21,доставка воды,доставка куба воды,42,970,all,wordstat_mcp,ws09,
2026-06-21,доставка воды,доставка питьевой воды,56,970,all,wordstat_mcp,ws09,
2026-06-21,вода на стройку,,,970,all,wordstat_mcp,ws10,API error empty response
2026-06-21,водовоз новороссийск,водовоз новороссийск,36,10995,all,wordstat_mcp,ws11,proxy krai
2026-06-21,водовоз новороссийск,веселый водовоз новороссийск,17,10995,all,wordstat_mcp,ws11,competitor
2026-06-21,техническая вода,техническая вода,1419,10995,all,wordstat_mcp,ws12,proxy krai
2026-06-21,техническая вода,доставка технической воды,60,10995,all,wordstat_mcp,ws12,proxy
2026-06-21,доставка воды водовозом,водовоз доставка воды,119,10995,all,wordstat_mcp,ws13,proxy krai
