date_collected,seed_phrase,query,raw_frequency,region,device,source,source_call,notes
2026-05-21,водовоз новороссийск,водовоз новороссийск,27,970,all,wordstat_mcp,ws01,
2026-05-21,водовоз новороссийск,водовозов новороссийск,27,970,all,wordstat_mcp,ws01,
2026-05-21,водовоз новороссийск,веселый водовоз новороссийск,15,970,all,wordstat_mcp,ws01,competitor
2026-05-21,водовоз новороссийск,доставка воды новороссийск водовоз,3,970,all,wordstat_mcp,ws01,
2026-05-21,доставка воды новороссийск,доставка воды новороссийск,830,970,all,wordstat_mcp,ws02,head; bottle noise
2026-05-21,доставка воды новороссийск,доставка воды новороссийск 19,211,970,all,wordstat_mcp,ws02,bottle exclude
2026-05-21,доставка воды новороссийск,доставка воды новороссийск 19 литров на дом,70,970,all,wordstat_mcp,ws02,bottle exclude
2026-05-21,доставка воды новороссийск,аквакуб новороссийск вода доставка,57,970,all,wordstat_mcp,ws02,competitor bottle
2026-05-21,доставка воды новороссийск,вода 19 литров с доставкой новороссийск,49,970,all,wordstat_mcp,ws02,bottle exclude
2026-05-21,доставка воды новороссийск,доставка воды новороссийск цены,32,970,all,wordstat_mcp,ws02,mixed
2026-05-21,доставка воды новороссийск,доставка питьевой воды новороссийск,25,970,all,wordstat_mcp,ws02,
2026-05-21,доставка воды новороссийск,доставка воды новороссийск водовоз,3,970,all,wordstat_mcp,ws02,
2026-05-21,доставка воды водовозом,водовоз доставка воды,7,970,all,wordstat_mcp,ws03,
2026-05-21,доставка воды водovozом,водовозов доставка воды,7,970,all,wordstat_mcp,ws03,
2026-05-21,техническая вода,техническая вода,85,970,all,wordstat_mcp,ws04,
2026-05-21,техническая вода,доставка технической воды,3,970,all,wordstat_mcp,ws04,
2026-05-21,техническая вода,подвоз технической воды,4,970,all,wordstat_mcp,ws04,
2026-05-21,доставка технической воды,доставка технической воды,3,970,all,wordstat_mcp,ws05,
2026-05-21,подвоз воды,подвоз воды,119,970,all,wordstat_mcp,ws08,
2026-05-21,подвоз воды,подвоз воды в новороссийске,26,970,all,wordstat_mcp,ws08,geo
2026-05-21,подвоз воды,подвоз воды водovozом,2,970,all,wordstat_mcp,ws08,
2026-05-21,подвоз воды,заказать подвоз воды,2,970,all,wordstat_mcp,ws08,
2026-05-21,водовозка,водовозка,61,970,all,wordstat_mcp,ws09,brand/service
2026-05-21,водовозка,водовозка воды,8,970,all,wordstat_mcp,ws09,
2026-05-21,водовозка,заказать водовозку,6,970,all,wordstat_mcp,ws09,
2026-05-21,заказ воды куб,заказ воды куб,6,970,all,wordstat_mcp,ws10,
2026-05-21,заказ воды куб,заказ воды новороссийск 16 кубов,5,970,all,wordstat_mcp,ws10,
2026-05-21,доставка питьевой воды новороссийск,доставка питьевой воды новороссийск,25,970,all,wordstat_mcp,ws11,
2026-05-21,промывка скважины,промывка скважины,21,970,all,wordstat_mcp,ws12,service
2026-05-21,заполнить бассейн водой,заполняем бассейн водой,3,970,all,wordstat_mcp,ws13,
2026-05-21,доставка воды,доставка воды,1119,970,all,wordstat_mcp,ws14,generic
2026-05-21,доставка воды,доставка воды новороссийск,830,970,all,wordstat_mcp,ws14,
2026-05-21,доставка воды,доставка воды кубами,42,970,all,wordstat_mcp,ws14,
2026-05-21,водовоз новороссийск,водовоз новороссийск,36,10995,all,wordstat_mcp,ws15,proxy krai
2026-05-21,техническая вода,техническая вода,1419,10995,all,wordstat_mcp,ws16,proxy krai
2026-05-21,техническая вода,доставка технической воды,60,10995,all,wordstat_mcp,ws16,proxy
2026-05-21,доставка воды водovozом,водовоз доставка воды,119,10995,all,wordstat_mcp,ws17,proxy
