cluster_id,cluster_name,primary_query,secondary_queries,intent,frequency_total,region_note,page_type,priority,business_value,target_url,url_status,serp_engine,serp_check_status,top_competitors,geo_questions,content_status,last_review,notes
CL01,Водовоз Новороссийск,водовоз новороссийск,водовозов новороссийск;доставка воды новороссийск водовоз,T,27,970,landing,P0,high,https://vovorosvoda.ru/,create,yandex,not_checked,веселый водovoz,Как заказать водовоз?,missing,2026-05-21,site down
CL02,Доставка воды водовозом,водовоз доставка воды,водовозов доставка воды;доставка воды водовозом,T,7,970 head;10995 proxy 119,landing,P0,high,https://vovorosvoda.ru/,create,yandex,not_checked,,Сколько кубов за рейс?,missing,2026-05-21,
CL03,Техническая вода,техническая вода,доставка технической воды;подвоз технической воды,Mixed,85,970;10995 validates demand,service_section,P0,high,https://vovorosvoda.ru/#technical,create,yandex,not_checked,,Что такое техническая вода?,partial vodowozka,2026-05-21,
CL04,Подвоз воды,подвоз воды,подвоз воды в новороссийске;заказать подвоз воды,T,119,970,service_section,P0,high,https://vovorosvoda.ru/#delivery,create,yandex,not_checked,,Куда подвозите?,partial,2026-05-21,matches site copy
CL05,Бренд водовозка,водовозка,водовозка воды;заказать водовозку,Mixed,61,970,landing_brand,P1,high,https://vovorosvoda.ru/,create,yandex,not_checked,,,exists vodowozka brand,2026-05-21,exclude купить водовозку
CL06,Заказ воды кубами,заказ воды куб,заказ воды новороссийск 16 кубов;доставка воды кубами,T,6,970,pricing_block,P1,medium,https://vovorosvoda.ru/#volumes,create,yandex,not_checked,,Цена за куб?,missing,2026-05-21,
CL07,Промывка скважин,промывка скважины,промыvka скважины цена,I,21,970,service_section,P2,medium,https://vovorosvoda.ru/#wells,create,yandex,not_checked,,,partial vodowozka,2026-05-21,
CL08,Доставка воды NSK (перехват),доставка воды новороссийск,доставка воды новороссийск цены,Mixed,830,970,landing,P0,high,https://vovorosvoda.ru/,create,yandex,not_checked,аквакуб;19л,Чем водовоз отличается от 19л?,needs_positioning,2026-05-21,~70% bottle queries
CL09,Питьевая вода водовозом,доставка питьевой воды новороссийск,,T,25,970,service_section,P1,medium,https://vovorosvoda.ru/#drinking,create,yandex,not_checked,,,partial,2026-05-21,
CL10,Наполнение бассейна,заполняем бассейн водой,,T,3,970,service_section,P2,low,https://vovorosvoda.ru/#pool,create,yandex,not_checked,,Сколько рейсов?,partial,2026-05-21,
