date_collected,seed_phrase,query,raw_frequency,region,device,source,source_call,notes
2026-05-21,водовоз новороссийск,водовоз новороссийск,13,970,all,wordstat_mcp,ws01,
2026-05-21,водовоз новороссийск,водовозов новороссийск,13,970,all,wordstat_mcp,ws01,
2026-05-21,водовоз новороссийск,веселый водовоз новороссийск,9,970,all,wordstat_mcp,ws01,competitor brand
2026-05-21,доставка воды новороссийск,доставка воды новороссийск,568,970,all,wordstat_mcp,ws02,head; 19l tail excluded from core
2026-05-21,доставка воды новороссийск,доставка воды новороссийск 19,156,970,all,wordstat_mcp,ws02,bottle 19l exclude
2026-05-21,доставка воды новороссийск,новороссийск доставка воды на дом,54,970,all,wordstat_mcp,ws02,mixed bottle/tanker
2026-05-21,доставка воды новороссийск,доставка воды новороссийск 19 литров на дом,45,970,all,wordstat_mcp,ws02,bottle 19l exclude
2026-05-21,доставка воды новороссийск,аквакуб новороссийск вода доставка,45,970,all,wordstat_mcp,ws02,competitor bottle
2026-05-21,доставка воды новороссийск,вода 19 литров с доставкой новороссийск,28,970,all,wordstat_mcp,ws02,bottle 19l exclude
2026-05-21,доставка воды новороссийск,доставка воды новороссийск цены,25,970,all,wordstat_mcp,ws02,mixed
2026-05-21,доставка воды новороссийск,доставка воды новороссийск 19 литров цена,24,970,all,wordstat_mcp,ws02,bottle 19l exclude
2026-05-21,доставка воды новороссийск,доставка питьевой воды новороссийск,11,970,all,wordstat_mcp,ws02,mixed
2026-05-21,водовоз,водовоз,42,970,all,wordstat_mcp,ws03,
2026-05-21,водовоз,водовозов,42,970,all,wordstat_mcp,ws03,
2026-05-21,водовоз,водовоз доставка воды,6,970,all,wordstat_mcp,ws03,
2026-05-21,водовоз,вода водовоз,6,970,all,wordstat_mcp,ws03,
2026-05-21,водовоз,веселый водовоз,10,970,all,wordstat_mcp,ws03,competitor brand
2026-05-21,доставка воды водовозом,доставка воды водовозом,6,970,all,wordstat_mcp,ws04,
2026-05-21,доставка воды водовозом,водовоз доставка воды,6,970,all,wordstat_mcp,ws04,
2026-05-21,техническая вода,техническая вода,59,970,all,wordstat_mcp,ws05,
2026-05-21,техническая вода,доставка технической воды,7,970,all,wordstat_mcp,ws05,
2026-05-21,доставка технической воды,доставка технической воды,7,970,all,wordstat_mcp,ws06,
2026-05-21,вода на стройку,вода на стройку,1,970,all,wordstat_mcp,ws07,
2026-05-21,наполнение бассейна,наполнение бассейна водой,3,970,all,wordstat_mcp,ws08,
2026-05-21,заказ воды,заказ воды,132,970,all,wordstat_mcp,ws09,mixed bottle
2026-05-21,заказ воды,заказ воды новороссийск,98,970,all,wordstat_mcp,ws09,mixed bottle
2026-05-21,заказ воды,заказ воды куб,2,970,all,wordstat_mcp,ws09,tanker signal
2026-05-21,заказ воды,заказ куба воды,2,970,all,wordstat_mcp,ws09,tanker signal
2026-05-21,вода 19л,вода 19 литров новороссийск,223,970,all,wordstat_mcp,ws10,bottle 19l exclude
2026-05-21,вода 19л,заказать воду новороссийск 19 литров,31,970,all,wordstat_mcp,ws10,bottle 19l exclude
2026-05-21,пожарный резерв,резервуары пожарного запаса воды,3,970,all,wordstat_mcp,ws11,
2026-05-21,пожарный резерв,пожарный резервуар для воды,2,970,all,wordstat_mcp,ws11,
2026-05-21,доставка воды водовозом,доставка воды водовозом,124,10995,all,wordstat_mcp,ws12,proxy krai head
2026-05-21,техническая вода,техническая вода,1371,10995,all,wordstat_mcp,ws13,proxy krai head
2026-05-21,доставка технической воды,доставка технической воды,55,10995,all,wordstat_mcp,ws14,proxy; combined head [970+10995]=55
2026-05-21,вода на стройку,вода на стройку,11,10995,all,wordstat_mcp,ws15,proxy krai head
2026-05-21,наполнение бассейна,наполнение бассейна водой,39,10995,all,wordstat_mcp,ws16,proxy krai head
2026-05-21,доставка воды новороссийск,доставка воды новороссийск,701,10995,all,wordstat_mcp,ws17,proxy krai head
2026-05-21,водовоз новороссийск,водовоз новороссийск,22,10995,all,wordstat_mcp,ws17,proxy krai head
2026-05-21,доставка воды водовозом,доставка воды водовозом новороссийск,0,970,all,wordstat_mcp,ws04,no tail data
2026-05-21,техническая вода,новороссийск цемдолина лаборатория технической воды,6,970,all,wordstat_mcp,ws05,lab/info tail
2026-05-21,доставка воды новороссийск,троицкая вода новороссийск доставка,17,970,all,wordstat_mcp,ws02,competitor bottle exclude
2026-05-21,доставка воды новороссийск,амзай новороссийск вода доставка,15,970,all,wordstat_mcp,ws02,competitor bottle exclude
2026-05-21,водовоз,водовоз игрушка,2,970,all,wordstat_mcp,ws03,toy off-topic exclude
2026-05-21,заказ воды,заказ воды 19 литров,18,970,all,wordstat_mcp,ws09,bottle 19l exclude
2026-05-21,доставка воды новороссийск,доставка воды слон новороссийск,7,970,all,wordstat_mcp,ws02,competitor bottle exclude
2026-05-21,пожарный резерв,пожарный резерв воды,0,970,all,wordstat_mcp,ws11,no separate head; total cluster 5
