cluster_id,cluster_name,primary_query,secondary_queries,intent,frequency_total,region_note,page_type,priority,business_value,target_url,url_status,serp_engine,serp_check_status,top_competitors,geo_questions,content_status,last_review,notes
CL01,Водовоз Новороссийск,водовоз новороссийск,водовоз;водовозов новороссийск,T,55,970 primary 13;10995 proxy 22,landing,P0,high,https://water-delivery-premium--preview.poehali.dev/,refresh,yandex,not_checked,веселый водовоз,Как заказать водовоз в Новороссийске?;Минимальный объём?,exists,2026-05-21,Low local volume but exact match
CL02,Доставка воды водовозом,доставка воды водовозом,водовоз доставка воды;вода водовоз,T,130,970 head 6;10995 proxy 124,landing,P0,high,https://water-delivery-premium--preview.poehali.dev/,refresh,yandex,not_checked,,Сколько кубов за рейс?;Цена водовоза?,exists,2026-05-21,Proxy validates commercial scale
CL03,Техническая вода / доставка,доставка технической воды,техническая вода;доставка технической воды,Mixed,1492,970 59+7;10995 proxy 1371+55;combined head 55,service_section,P0,high,https://water-delivery-premium--preview.poehali.dev/#services-technical,create,yandex,not_checked,,Что такое техническая вода для стройки?,partial,2026-05-21,Add anchor #services-technical
CL04,Вода на стройку,вода на стройку,вода на стройку,T,12,970 1;10995 proxy 11,service_section,P1,medium,https://water-delivery-premium--preview.poehali.dev/#services,refresh,yandex,not_checked,,Сколько воды нужно на стройку?,exists,2026-05-21,
CL05,Наполнение бассейна,наполнение бассейна водой,наполнение бассейна водой,T,42,970 3;10995 proxy 39,service_section,P1,medium,https://water-delivery-premium--preview.poehali.dev/#services,refresh,yandex,not_checked,,Сколько рейсов водовоза для бассейна?,exists,2026-05-21,
CL06,Пожарный резерв воды,резервуары пожарного запаса воды,пожарный резервуар для воды,Mixed,5,970 only,service_section,P2,medium,https://water-delivery-premium--preview.poehali.dev/#services,refresh,yandex,not_checked,,Как заполнить пожарный резервуар?,exists,2026-05-21,B2B
CL07,Заказ воды кубами,заказ воды куб,заказ куба воды,T,4,970,landing_block,P1,high,https://water-delivery-premium--preview.poehali.dev/#volumes,refresh,yandex,not_checked,,Можно ли заказать 7.5 или 10 м³?,exists,2026-05-21,Align with 7.5 m3 USP
CL08,Доставка воды Новороссийск (перехват),доставка воды новороссийск,доставка воды новороссийск цены,Mixed,1269,970 568;10995 proxy 701,landing,P0,high,https://water-delivery-premium--preview.poehali.dev/,refresh,yandex,not_checked,аквакуб;19л бренды,Чем водовоз отличается от 19л?,needs_positioning,2026-05-21,568/mo but ~70% bottle queries excluded
CL09,Питьевая вода водовозом,доставка питьевой воды новороссийск,доставка питьевой воды новороссийск,Mixed,11,970,service_section,P1,medium,https://water-delivery-premium--preview.poehali.dev/#services,refresh,yandex,not_checked,,Есть сертификаты СанПиН?,exists,2026-05-21,
CL10,Доставка воды на дом,новороссийск доставка воды на дом,доставка воды на дом,Mixed,54,970,landing_block,P1,medium,https://water-delivery-premium--preview.poehali.dev/#services,hold,yandex,not_checked,,Доставка в накопительную ёмкость?,exists,2026-05-21,SERP check required
