date_collected,seed_phrase,query,raw_frequency,region,device,source,source_call,notes
2026-05-21,водовоз новороссийск,водовоз новороссийск,13,970,all,wordstat_mcp,ws01,
2026-05-21,водовоз новороссийск,водовозов новороссийск,13,970,all,wordstat_mcp,ws01,
2026-05-21,водовоз новороссийск,веселый водовоз новороссийск,9,970,all,wordstat_mcp,ws01,competitor brand
2026-05-21,доставка воды новороссийск,доставка воды новороссийск,568,970,all,wordstat_mcp,ws02,
2026-05-21,доставка воды новороссийск,доставка воды новороссийск 19,156,970,all,wordstat_mcp,ws02,bottle 19l
2026-05-21,доставка воды новороссийск,новороссийск доставка воды на дом,54,970,all,wordstat_mcp,ws02,mixed bottle/tanker
2026-05-21,доставка воды новороссийск,доставка воды новороссийск 19 литров на дом,45,970,all,wordstat_mcp,ws02,bottle 19l
2026-05-21,доставка воды новороссийск,аквакуб новороссийск вода доставка,45,970,all,wordstat_mcp,ws02,competitor bottle
2026-05-21,доставка воды новороссийск,вода 19 литров с доставкой новороссийск,28,970,all,wordstat_mcp,ws02,bottle 19l
2026-05-21,доставка воды новороссийск,аква куб новороссийск вода доставка,28,970,all,wordstat_mcp,ws02,competitor bottle
2026-05-21,доставка воды новороссийск,доставка воды новороссийск цены,25,970,all,wordstat_mcp,ws02,mixed
2026-05-21,доставка воды новороссийск,доставка воды новороссийск 19 литров цена,24,970,all,wordstat_mcp,ws02,bottle 19l
2026-05-21,доставка воды новороссийск,троицкая вода новороссийск доставка,17,970,all,wordstat_mcp,ws02,competitor bottle
2026-05-21,доставка воды новороссийск,амзай новороссийск вода доставка,15,970,all,wordstat_mcp,ws02,competitor bottle
2026-05-21,доставка воды новороссийск,доставка питьевой воды новороссийск,11,970,all,wordstat_mcp,ws02,mixed
2026-05-21,доставка воды новороссийск,доставка воды слон новороссийск,7,970,all,wordstat_mcp,ws02,competitor bottle
2026-05-21,водовоз,водовоз,42,970,all,wordstat_mcp,ws03,
2026-05-21,водовоз,водовозов,42,970,all,wordstat_mcp,ws03,
2026-05-21,водовоз,водовоз новороссийск,13,970,all,wordstat_mcp,ws03,
2026-05-21,водовоз,веселый водовоз,10,970,all,wordstat_mcp,ws03,competitor brand
2026-05-21,водовоз,вода водовоз,6,970,all,wordstat_mcp,ws03,
2026-05-21,водовоз,водовоз доставка воды,6,970,all,wordstat_mcp,ws03,
2026-05-21,водовоз,водовоз игрушка,2,970,all,wordstat_mcp,ws03,toy off-topic
2026-05-21,доставка воды водовозом,водовоз доставка воды,6,970,all,wordstat_mcp,ws04,
2026-05-21,доставка воды водовозом,водовозов доставка воды,6,970,all,wordstat_mcp,ws04,
2026-05-21,вода на стройку,вода на стройку,1,970,all,wordstat_mcp,ws05,
2026-05-21,наполнение бассейна водой,наполнение бассейна водой,3,970,all,wordstat_mcp,ws06,
2026-05-21,техническая вода,техническая вода,59,970,all,wordstat_mcp,ws07,
2026-05-21,техническая вода,доставка технической воды,7,970,all,wordstat_mcp,ws07,
2026-05-21,техническая вода,новороссийск цемдолина лаборатория технической воды,6,970,all,wordstat_mcp,ws07,lab/info
2026-05-21,техническая вода,доставка технической воды краснодон,5,970,all,wordstat_mcp,ws07,wrong geo
2026-05-21,пожарный резервуар вода,резервуары пожарного запаса воды,3,970,all,wordstat_mcp,ws08,
2026-05-21,пожарный резервуар вода,пожарный резервуар для воды,2,970,all,wordstat_mcp,ws08,
2026-05-21,доставка технической воды,доставка технической воды,7,970,all,wordstat_mcp,ws09,
2026-05-21,заказ воды,заказ воды,132,970,all,wordstat_mcp,ws10,mixed bottle
2026-05-21,заказ воды,заказ воды новороссийск,98,970,all,wordstat_mcp,ws10,mixed bottle
2026-05-21,заказ воды,заказ воды куб,2,970,all,wordstat_mcp,ws10,tanker signal
2026-05-21,заказ воды,заказ куба воды,2,970,all,wordstat_mcp,ws10,tanker signal
2026-05-21,вода 19 литров новороссийск,вода 19 литров новороссийск,223,970,all,wordstat_mcp,ws11,bottle 19l exclude
2026-05-21,вода 19 литров новороссийск,заказать воду новороссийск 19 литров,31,970,all,wordstat_mcp,ws11,bottle 19l exclude
2026-05-21,водоснабжение частного дома,водоснабжение частного дома,34,970,all,wordstat_mcp,ws12,info equipment
2026-05-21,водоснабжение частного дома,система водоснабжения частного дома,11,970,all,wordstat_mcp,ws12,info equipment
2026-05-21,вода водовоз,вода водовоз,6,970,all,wordstat_mcp,ws13,
2026-05-21,вода водовоз,водовоз доставка воды,6,970,all,wordstat_mcp,ws13,
2026-05-21,противопожарное водоснабжение,противопожарное водоснабжение,18,970,all,wordstat_mcp,ws14,info/regulatory
2026-05-21,противопожарное водоснабжение,наружное противопожарное водоснабжение,5,970,all,wordstat_mcp,ws14,info/regulatory
2026-05-21,доставка воды водовозом новороссийск,доставка воды водовозом новороссийск,0,970,all,wordstat_mcp,ws15,no_data
2026-05-21,техническая вода водовоз,техническая вода водовоз,0,970,all,wordstat_mcp,ws16,no_data
2026-05-21,заказать водовоз,заказать водовоз,0,970,all,wordstat_mcp,ws17,no_data
2026-05-21,доставка воды 10 кубов,доставка воды 10 кубов,0,970,all,wordstat_mcp,ws18,no_data
2026-05-21,срочная доставка воды,срочная доставка воды,0,970,all,wordstat_mcp,ws19,no_data
2026-05-21,доставка питьевой воды водовозом,доставка питьевой воды водовозом,0,970,all,wordstat_mcp,ws20,no_data
